Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,29243.0,16.696,46.494,1012.8245,1.2138,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,51.0,0.0
1,29294.0,16.664,46.509,1012.78394,1.2139,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,102.0,0.0
2,29345.0,16.685,46.494,1012.8063,1.2138,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,153.0,0.0
3,29396.0,16.707,46.486,1012.8063,1.2137,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,204.0,0.0
4,29448.0,16.696,46.479,1012.71704,1.2137,1.625,14.0,1.636,220.0,0.0,540.56,0.0,0.0,256.0,0.0
5,29499.0,16.696,46.502,1012.77954,1.2138,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,307.0,0.0
6,29550.0,16.685,46.494,1012.8019,1.2138,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,358.0,0.0
7,29601.0,16.696,46.486,1012.8019,1.2138,1.625,14.0,1.636,220.0,0.0,540.57,0.0,0.0,409.0,0.0
8,29652.0,16.675,46.494,1012.7885,1.2139,1.5,14.0,1.572,220.0,0.0,544.22,0.0,0.0,460.0,0.0
9,29704.0,16.707,46.502,1012.83307,1.2138,1.5,14.0,1.572,220.0,0.0,544.22,0.0,0.0,512.0,0.0
10,29756.0,16.675,46.486,1012.8019,1.2139,1.5,14.0,1.572,220.0,0.0,544.22,0.0,0.0,564.0,0.0
11,29807.0,16.675,46.494,1012.8019,1.2139,1.375,14.0,1.505,220.0,0.0,548.02,0.0,0.0,615.0,0.0
12,29858.0,16.675,46.486,1012.7885,1.2139,1.375,14.0,1.505,220.0,0.0,548.02,0.0,0.0,666.0,0.0
13,29910.0,16.718,46.509,1012.8063,1.2137,1.375,14.0,1.505,220.0,0.0,548.02,0.0,0.0,718.0,0.0
14,29961.0,16.707,46.494,1012.75275,1.2137,1.375,14.0,1.505,220.0,0.0,548.02,0.0,0.0,769.0,0.0
15,30012.0,16.707,46.494,1012.75275,1.2137,1.375,14.0,1.505,220.0,0.0,548.02,0.0,0.0,820.0,0.0
16,30063.0,16.696,46.502,1012.82404,1.2138,1.25,14.0,1.435,220.0,0.0,552.01,0.0,0.0,871.0,0.0
17,30114.0,16.707,46.494,1012.77515,1.2137,1.25,14.0,1.435,220.0,0.0,552.01,0.0,0.0,922.0,0.0
18,30166.0,16.696,46.509,1012.77515,1.2137,1.25,14.0,1.435,220.0,0.0,552.01,0.0,0.0,974.0,0.0
19,30217.0,16.696,46.494,1012.8152,1.2138,1.25,14.0,1.435,220.0,0.0,552.01,0.0,0.0,1025.0,0.0
20,30268.0,16.685,46.479,1012.8063,1.2138,1.25,14.0,1.435,220.0,0.0,552.01,0.0,0.0,1076.0,0.0
21,30319.0,16.707,46.494,1012.7706,1.2137,1.25,14.0,1.435,220.0,0.0,552.01,0.0,0.0,1127.0,0.0
22,30370.0,16.707,46.486,1012.7706,1.2137,1.125,14.0,1.362,220.0,0.0,556.19,0.0,0.0,1178.0,0.0
23,30422.0,16.707,46.502,1012.7885,1.2137,1.125,14.0,1.362,220.0,0.0,556.2,0.0,0.0,1230.0,0.0
24,30473.0,16.696,46.502,1012.84204,1.2138,1.125,14.0,1.362,220.0,0.0,556.2,0.0,0.0,1281.0,0.0
25,30525.0,16.685,46.509,1012.7617,1.2138,1.125,14.0,1.362,220.0,0.0,556.2,0.0,0.0,1333.0,0.0
26,30576.0,16.675,46.486,1012.7617,1.2138,1.125,14.0,1.362,220.0,0.0,556.2,0.0,0.0,1384.0,0.0
27,30627.0,16.675,46.486,1012.74835,1.2138,1.0,14.0,1.284,220.0,0.0,560.62,0.0,0.0,1435.0,0.0
28,30679.0,16.696,46.494,1012.7844,1.2138,1.0,14.0,1.284,220.0,0.0,560.62,0.0,0.0,1487.0,0.0
29,30730.0,16.707,46.486,1012.7617,1.2137,0.875,14.0,1.201,220.0,0.0,565.33,0.0,0.0,1538.0,0.0
30,30781.0,16.696,46.502,1012.7617,1.2137,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1589.0,0.0
31,30832.0,16.685,46.502,1012.78394,1.2138,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1640.0,0.0
32,30883.0,16.664,46.486,1012.7572,1.2139,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1691.0,0.0
33,30935.0,16.696,46.502,1012.8063,1.2138,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1743.0,0.0
34,30986.0,16.685,46.494,1012.8063,1.2138,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1794.0,0.0
35,31037.0,16.696,46.502,1012.8063,1.2138,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1845.0,0.0
36,31088.0,16.696,46.509,1012.79736,1.2138,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1896.0,0.0
37,31139.0,16.707,46.502,1012.8197,1.2138,0.75,14.0,1.112,220.0,0.0,570.41,0.0,0.0,1947.0,0.0
38,31191.0,16.685,46.509,1012.8197,1.2138,0.625,14.0,1.015,220.0,0.0,575.92,0.0,0.0,1999.0,0.0
39,31242.0,16.685,46.494,1012.7394,1.2138,0.625,14.0,1.015,220.0,0.0,575.91,0.0,0.0,2050.0,0.0
40,31293.0,16.696,46.494,1012.77954,1.2138,0.625,14.0,1.015,220.0,0.0,575.91,0.0,0.0,2101.0,0.0
41,31344.0,16.696,46.502,1012.7661,1.2137,0.625,14.0,1.015,220.0,0.0,575.91,0.0,0.0,2152.0,0.0
42,31395.0,16.707,46.486,1012.7661,1.2137,0.625,14.0,1.015,220.0,0.0,575.91,0.0,0.0,2203.0,0.0
43,31447.0,16.685,46.494,1012.79736,1.2138,0.625,14.0,1.015,220.0,0.0,575.92,0.0,0.0,2255.0,0.0
44,31499.0,16.696,46.494,1012.8197,1.2138,0.625,14.0,1.015,220.0,0.0,575.92,0.0,0.0,2307.0,0.0
45,31550.0,16.707,46.494,1012.8197,1.2138,0.625,14.0,1.015,220.0,0.0,575.91,0.0,0.0,2358.0,0.0
46,31601.0,16.664,46.494,1012.7929,1.2139,0.5,14.0,0.908,220.0,0.0,582.01,0.0,0.0,2409.0,0.0
47,31652.0,16.696,46.502,1012.7929,1.2138,0.5,14.0,0.908,220.0,0.0,582.0,0.0,0.0,2460.0,0.0
48,31704.0,16.696,46.486,1012.8107,1.2138,0.5,14.0,0.908,220.0,0.0,582.0,0.0,0.0,2512.0,0.0
49,31755.0,16.664,46.486,1012.8107,1.2139,0.5,14.0,0.908,220.0,0.0,582.01,0.0,0.0,2563.0,0.0
50,31806.0,16.707,46.509,1012.77954,1.2137,0.5,14.0,0.908,220.0,0.0,582.0,0.0,0.0,2614.0,0.0
51,31857.0,16.707,46.502,1012.8063,1.2137,0.5,14.0,0.908,220.0,0.0,582.0,0.0,0.0,2665.0,0.0
52,31908.0,16.685,46.494,1012.74835,1.2138,0.5,14.0,0.908,220.0,0.0,582.0,0.0,0.0,2716.0,0.0
53,31960.0,16.696,46.509,1012.74835,1.2137,0.5,14.0,0.908,220.0,0.0,582.0,0.0,0.0,2768.0,0.0
