Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,23.496,20.134,1009.78455,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,563.0,0.0
1,613.0,23.496,20.15,1009.76984,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,613.0,0.0
2,664.0,23.496,20.142,1009.76843,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,664.0,0.0
3,714.0,23.485,20.142,1009.76843,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,714.0,0.0
4,765.0,23.496,20.127,1009.77673,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,765.0,0.0
5,817.0,23.496,20.142,1009.77155,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,817.0,0.0
6,867.0,23.485,20.142,1009.7939,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,867.0,0.0
7,918.0,23.496,20.142,1009.7939,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,918.0,0.0
8,969.0,23.474,20.142,1009.8158,1.1838,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,969.0,0.0
9,1019.0,23.485,20.142,1009.7975,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1019.0,0.0
10,1071.0,23.485,20.15,1009.7975,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1071.0,0.0
11,1122.0,23.496,20.15,1009.75696,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1122.0,0.0
12,1172.0,23.496,20.134,1009.8147,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1172.0,0.0
13,1223.0,23.485,20.127,1009.7925,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1223.0,0.0
14,1274.0,23.496,20.15,1009.7925,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1274.0,0.0
15,1326.0,23.496,20.134,1009.7968,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1326.0,0.0
16,1376.0,23.474,20.127,1009.79205,1.1838,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1376.0,0.0
17,1427.0,23.507,20.142,1009.8013,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1427.0,0.0
18,1478.0,23.474,20.15,1009.8013,1.1838,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1478.0,0.0
19,1528.0,23.485,20.142,1009.7698,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1528.0,0.0
20,1580.0,23.496,20.134,1009.8191,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1580.0,0.0
21,1631.0,23.485,20.142,1009.765,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1631.0,0.0
22,1681.0,23.496,20.142,1009.765,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1681.0,0.0
23,1732.0,23.474,20.142,1009.76904,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1732.0,0.0
24,1783.0,23.507,20.142,1009.77344,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1783.0,0.0
25,1833.0,23.474,20.134,1009.77344,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1833.0,0.0
26,1885.0,23.496,20.134,1009.80554,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1885.0,0.0
27,1936.0,23.496,20.142,1009.7555,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1936.0,0.0
28,1986.0,23.496,20.134,1009.79205,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1986.0,0.0
29,2037.0,23.485,20.142,1009.79205,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2037.0,0.0
30,2088.0,23.464,20.142,1009.8147,1.1838,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2088.0,0.0
31,2140.0,23.496,20.142,1009.78766,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2140.0,0.0
32,2190.0,23.474,20.142,1009.7698,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2190.0,0.0
33,2241.0,23.496,20.127,1009.7698,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2241.0,0.0
34,2292.0,23.485,20.15,1009.765,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2292.0,0.0
35,2342.0,23.485,20.15,1009.765,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2342.0,0.0
36,2394.0,23.485,20.127,1009.80963,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2394.0,0.0
37,2445.0,23.496,20.142,1009.80963,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2445.0,0.0
38,2495.0,23.474,20.142,1009.7961,1.1838,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2495.0,0.0
39,2546.0,23.496,20.134,1009.7058,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2546.0,0.0
40,2597.0,23.496,20.134,1009.7058,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2597.0,0.0
41,2648.0,23.485,20.127,1009.765,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2648.0,0.0
42,2699.0,23.474,20.127,1009.78687,1.1838,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2699.0,0.0
43,2750.0,23.485,20.142,1009.765,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2750.0,0.0
44,2800.0,23.507,20.142,1009.765,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2800.0,0.0
45,2851.0,23.496,20.134,1009.81396,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2851.0,0.0
46,2903.0,23.474,20.134,1009.7785,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2903.0,0.0
47,2954.0,23.496,20.142,1009.7785,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2954.0,0.0
48,3004.0,23.485,20.134,1009.7785,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3004.0,0.0
49,3055.0,23.474,20.134,1009.7785,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3055.0,0.0
50,3106.0,23.474,20.142,1009.7555,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3106.0,0.0
51,3156.0,23.496,20.127,1009.7555,1.1836,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3156.0,0.0
52,3208.0,23.485,20.127,1009.7427,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3208.0,0.0
53,3259.0,23.485,20.134,1009.79205,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3259.0,0.0
54,3309.0,23.474,20.127,1009.73834,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3309.0,0.0
55,3360.0,23.485,20.127,1009.73834,1.1837,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3360.0,0.0
