Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,26.327,30.48,1003.46954,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,563.0,0.0
1,613.0,26.306,30.472,1003.40424,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,613.0,0.0
2,664.0,26.306,30.495,1003.4441,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,664.0,0.0
3,715.0,26.317,30.48,1003.4441,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,715.0,0.0
4,765.0,26.317,30.488,1003.4203,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,765.0,0.0
5,817.0,26.317,30.48,1003.4281,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,817.0,0.0
6,868.0,26.327,30.472,1003.4636,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,868.0,0.0
7,918.0,26.317,30.488,1003.4636,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,918.0,0.0
8,969.0,26.317,30.472,1003.4534,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,969.0,0.0
9,1020.0,26.327,30.472,1003.46216,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1020.0,0.0
10,1071.0,26.327,30.48,1003.46216,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1071.0,0.0
11,1122.0,26.317,30.48,1003.4393,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1122.0,0.0
12,1173.0,26.327,30.48,1003.44763,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1173.0,0.0
13,1223.0,26.317,30.48,1003.4205,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1223.0,0.0
14,1274.0,26.306,30.472,1003.4205,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1274.0,0.0
15,1326.0,26.295,30.48,1003.452,1.1632,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1326.0,0.0
16,1376.0,26.338,30.472,1003.4292,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1376.0,0.0
17,1427.0,26.295,30.503,1003.4656,1.1632,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1427.0,0.0
18,1478.0,26.327,30.495,1003.4656,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1478.0,0.0
19,1528.0,26.317,30.495,1003.4791,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1528.0,0.0
20,1580.0,26.317,30.488,1003.41565,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1580.0,0.0
21,1631.0,26.317,30.48,1003.41565,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1631.0,0.0
22,1681.0,26.338,30.488,1003.41986,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1681.0,0.0
23,1732.0,26.317,30.503,1003.41034,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1732.0,0.0
24,1783.0,26.338,30.472,1003.44275,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1783.0,0.0
25,1835.0,26.338,30.48,1003.44275,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1835.0,0.0
26,1885.0,26.317,30.488,1003.447,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1885.0,0.0
27,1936.0,26.317,30.488,1003.4239,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1936.0,0.0
28,1987.0,26.306,30.48,1003.47424,1.1632,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1987.0,0.0
29,2037.0,26.327,30.503,1003.47424,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2037.0,0.0
30,2088.0,26.327,30.488,1003.447,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2088.0,0.0
31,2140.0,26.338,30.488,1003.39185,1.1629,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2140.0,0.0
32,2190.0,26.338,30.488,1003.52765,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2190.0,0.0
33,2241.0,26.306,30.495,1003.52765,1.1632,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2241.0,0.0
34,2292.0,26.338,30.48,1003.4419,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2292.0,0.0
35,2342.0,26.338,30.472,1003.4334,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2342.0,0.0
36,2394.0,26.317,30.488,1003.4334,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2394.0,0.0
37,2445.0,26.306,30.488,1003.5005,1.1632,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2445.0,0.0
38,2495.0,26.317,30.488,1003.49615,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2495.0,0.0
39,2546.0,26.317,30.48,1003.46466,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2546.0,0.0
40,2597.0,26.317,30.48,1003.46466,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2597.0,0.0
41,2649.0,26.306,30.495,1003.4826,1.1632,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2649.0,0.0
42,2699.0,26.317,30.488,1003.4734,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2699.0,0.0
43,2750.0,26.317,30.495,1003.4554,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2750.0,0.0
44,2801.0,26.306,30.488,1003.4554,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2801.0,0.0
45,2851.0,26.306,30.48,1003.4453,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2851.0,0.0
46,2903.0,26.317,30.48,1003.46405,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2903.0,0.0
47,2954.0,26.327,30.48,1003.46405,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2954.0,0.0
48,3004.0,26.338,30.472,1003.44617,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3004.0,0.0
49,3055.0,26.338,30.488,1003.44617,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3055.0,0.0
50,3106.0,26.317,30.488,1003.46466,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3106.0,0.0
51,3156.0,26.338,30.48,1003.46466,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3156.0,0.0
52,3208.0,26.327,30.472,1003.4511,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3208.0,0.0
53,3259.0,26.338,30.488,1003.44617,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3259.0,0.0
54,4311.0,26.317,30.51,1003.4317,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4311.0,0.0
55,4362.0,26.306,30.488,1003.40015,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4362.0,0.0
56,4413.0,26.338,30.472,1003.40015,1.1629,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4413.0,0.0
57,4463.0,26.317,30.48,1003.4409,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4463.0,0.0
58,4514.0,26.317,30.472,1003.4545,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4514.0,0.0
59,4566.0,26.338,30.48,1003.42737,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4566.0,0.0
60,4616.0,26.327,30.48,1003.42737,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4616.0,0.0
61,4667.0,26.338,30.48,1003.4409,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4667.0,0.0
62,4718.0,26.327,30.48,1003.3691,1.1629,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4718.0,0.0
63,4769.0,26.327,30.48,1003.3691,1.1629,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4769.0,0.0
64,4819.0,26.327,30.472,1003.39185,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4819.0,0.0
65,4871.0,26.317,30.472,1003.46405,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4871.0,0.0
66,4922.0,26.338,30.48,1003.44617,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4922.0,0.0
67,4972.0,26.338,30.457,1003.44617,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4972.0,0.0
68,5023.0,26.327,30.488,1003.46405,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5023.0,0.0
69,5074.0,26.317,30.465,1003.41815,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5074.0,0.0
70,5125.0,26.338,30.472,1003.42334,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5125.0,0.0
71,5176.0,26.327,30.48,1003.42334,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5176.0,0.0
72,5227.0,26.317,30.465,1003.41815,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5227.0,0.0
73,5277.0,26.338,30.472,1003.41376,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5277.0,0.0
74,5328.0,26.317,30.472,1003.4545,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5328.0,0.0
75,5380.0,26.317,30.488,1003.4589,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5380.0,0.0
76,5431.0,26.338,30.48,1003.4098,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5431.0,0.0
77,5481.0,26.317,30.48,1003.4409,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5481.0,0.0
78,5532.0,26.327,30.472,1003.4409,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5532.0,0.0
79,5583.0,26.338,30.488,1003.4811,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5583.0,0.0
80,5634.0,26.317,30.465,1003.41376,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5634.0,0.0
81,5685.0,26.327,30.488,1003.4589,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5685.0,0.0
82,5736.0,26.327,30.488,1003.4589,1.1631,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5736.0,0.0
83,5786.0,26.317,30.472,1003.40015,1.163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,5786.0,0.0
