Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,265369.0,20.933,24.674,1009.75665,1.1939,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,51.0,0.0
1,265420.0,20.943,24.674,1009.8278,1.1939,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,102.0,0.0
2,265472.0,20.954,24.666,1009.8278,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,154.0,0.0
3,265523.0,20.922,24.666,1009.78326,1.1939,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,205.0,0.0
4,265573.0,20.943,24.666,1009.7469,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,255.0,0.0
5,265624.0,20.933,24.659,1009.7469,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,306.0,0.0
6,265675.0,20.933,24.659,1009.79175,1.1939,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,357.0,0.0
7,265726.0,20.943,24.659,1009.76483,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,408.0,0.0
8,265778.0,20.976,24.666,1009.76984,1.1937,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,460.0,0.0
9,265829.0,20.954,24.674,1009.76984,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,511.0,0.0
10,265880.0,20.954,24.674,1009.77826,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,562.0,0.0
11,265930.0,20.954,24.666,1009.7378,1.1937,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,612.0,0.0
12,265981.0,20.965,24.659,1009.7739,1.1937,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,663.0,0.0
13,266033.0,20.943,24.666,1009.7739,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,715.0,0.0
14,266084.0,20.954,24.666,1009.7739,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,766.0,0.0
15,266135.0,20.954,24.666,1009.7739,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,817.0,0.0
16,266186.0,20.943,24.666,1009.7469,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,868.0,0.0
17,266237.0,20.954,24.674,1009.7469,1.1937,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,919.0,0.0
18,266288.0,20.933,24.666,1009.7294,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,970.0,0.0
19,266339.0,20.933,24.666,1009.7469,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,1021.0,0.0
20,266390.0,20.954,24.659,1009.77826,1.1938,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,1072.0,0.0
21,266441.0,20.933,24.666,1009.77826,1.1939,0.0,35.0,0.0,669.0,0.0,1922.94,0.0,0.0,1123.0,0.0
