Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,23.206,20.913,1009.75726,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,563.0,0.0
1,613.0,23.217,20.913,1009.81024,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,613.0,0.0
2,664.0,23.206,20.913,1009.8047,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,664.0,0.0
3,714.0,23.196,20.928,1009.8047,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,714.0,0.0
4,765.0,23.206,20.913,1009.7996,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,765.0,0.0
5,817.0,23.206,20.913,1009.7898,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,817.0,0.0
6,867.0,23.206,20.913,1009.77985,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,867.0,0.0
7,918.0,23.206,20.92,1009.77985,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,918.0,0.0
8,969.0,23.217,20.92,1009.8021,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,969.0,0.0
9,1019.0,23.206,20.92,1009.82404,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1019.0,0.0
10,1071.0,23.196,20.92,1009.82404,1.1849,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1071.0,0.0
11,1122.0,23.196,20.92,1009.8066,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1122.0,0.0
12,1172.0,23.196,20.913,1009.8193,1.1849,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1172.0,0.0
13,1223.0,23.206,20.913,1009.8193,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1223.0,0.0
14,1274.0,23.206,20.92,1009.8193,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1274.0,0.0
15,1326.0,23.206,20.928,1009.78314,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1326.0,0.0
16,1376.0,23.217,20.913,1009.79663,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1376.0,0.0
17,1427.0,23.228,20.92,1009.76013,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1427.0,0.0
18,1478.0,23.206,20.92,1009.76013,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1478.0,0.0
19,1528.0,23.217,20.897,1009.79224,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1528.0,0.0
20,1580.0,23.228,20.928,1009.7509,1.1846,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1580.0,0.0
21,1631.0,23.217,20.913,1009.7872,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1631.0,0.0
22,1681.0,23.217,20.905,1009.7872,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1681.0,0.0
23,1732.0,23.206,20.905,1009.76447,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1732.0,0.0
24,1783.0,23.206,20.928,1009.7689,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1783.0,0.0
25,1833.0,23.228,20.92,1009.7689,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1833.0,0.0
26,1885.0,23.206,20.92,1009.78235,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1885.0,0.0
27,1936.0,23.206,20.905,1009.78674,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1936.0,0.0
28,1986.0,23.206,20.913,1009.7634,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1986.0,0.0
29,2037.0,23.217,20.92,1009.7634,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2037.0,0.0
30,2088.0,23.196,20.913,1009.7725,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2088.0,0.0
31,2140.0,23.206,20.92,1009.83093,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2140.0,0.0
32,2190.0,23.206,20.928,1009.79956,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2190.0,0.0
33,2241.0,23.206,20.928,1009.79956,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2241.0,0.0
34,2292.0,23.206,20.92,1009.73193,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2292.0,0.0
35,2342.0,23.217,20.92,1009.7904,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2342.0,0.0
36,2394.0,23.206,20.92,1009.7861,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2394.0,0.0
37,2445.0,23.206,20.928,1009.7861,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2445.0,0.0
38,2495.0,23.196,20.928,1009.79443,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2495.0,0.0
39,2546.0,23.206,20.928,1009.8039,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2546.0,0.0
40,2597.0,23.217,20.92,1009.8039,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2597.0,0.0
41,2648.0,23.206,20.936,1009.8175,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2648.0,0.0
42,2699.0,23.217,20.92,1009.8175,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2699.0,0.0
43,2750.0,23.217,20.913,1009.82153,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2750.0,0.0
44,2800.0,23.196,20.92,1009.82153,1.1849,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2800.0,0.0
45,2851.0,23.206,20.913,1009.8131,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2851.0,0.0
46,2903.0,23.206,20.92,1009.808,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2903.0,0.0
47,2953.0,23.217,20.913,1009.8039,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2953.0,0.0
48,3004.0,23.196,20.936,1009.8039,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3004.0,0.0
49,3055.0,23.206,20.936,1009.7634,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3055.0,0.0
50,3106.0,23.217,20.928,1009.7904,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3106.0,0.0
51,3156.0,23.217,20.928,1009.7904,1.1847,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3156.0,0.0
52,3208.0,23.206,20.92,1009.7861,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3208.0,0.0
53,3262.0,23.196,20.928,1009.78094,1.1848,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3262.0,0.0
54,3312.0,23.217,20.928,1009.77686,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3312.0,0.0
55,3363.0,23.196,20.92,1009.77686,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3363.0,0.0
56,3415.0,23.206,20.928,1009.759,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3415.0,0.0
57,3466.0,23.196,20.928,1009.7674,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3466.0,0.0
58,3516.0,23.206,20.928,1009.7634,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3516.0,0.0
59,3567.0,23.206,20.928,1009.7634,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3567.0,0.0
60,3618.0,23.196,20.92,1009.77686,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3618.0,0.0
61,3670.0,23.206,20.92,1009.77686,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3670.0,0.0
62,3720.0,23.206,20.928,1009.8032,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3720.0,0.0
63,3771.0,23.217,20.913,1009.8032,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3771.0,0.0
64,3822.0,23.217,20.92,1009.72284,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3822.0,0.0
65,3873.0,23.217,20.928,1009.79443,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3873.0,0.0
66,3923.0,23.206,20.92,1009.75464,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3923.0,0.0
67,3975.0,23.206,20.92,1009.75464,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,3975.0,0.0
68,4026.0,23.206,20.928,1009.78534,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,4026.0,0.0
69,4077.0,23.206,20.913,1009.8032,1.1848,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,4077.0,0.0
70,4127.0,23.228,20.92,1009.8032,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,4127.0,0.0
71,4178.0,23.206,20.928,1009.7498,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,4178.0,0.0
72,4230.0,23.217,20.92,1009.79443,1.1847,0.0,20.0,0.0,348.0,0.0,1001.96,0.0,0.0,4230.0,0.0
