Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,49971.0,21.876,22.82,1009.91077,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,51.0,0.0
1,50022.0,21.898,22.82,1009.91077,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,102.0,0.0
2,50072.0,21.855,22.82,1009.9603,1.1904,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,152.0,0.0
3,50123.0,21.887,22.82,1009.98737,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,203.0,0.0
4,50174.0,21.887,22.828,1009.9782,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,254.0,0.0
5,50226.0,21.887,22.82,1009.9782,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,306.0,0.0
6,50276.0,21.887,22.82,1009.95123,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,356.0,0.0
7,50327.0,21.887,22.82,1009.98663,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,407.0,0.0
8,50378.0,21.887,22.82,1009.94214,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,458.0,0.0
9,50429.0,21.887,22.835,1009.94214,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,509.0,0.0
10,50480.0,21.898,22.835,1009.91516,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,560.0,0.0
11,50531.0,21.898,22.82,1009.991,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,611.0,0.0
12,50582.0,21.898,22.812,1009.991,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,662.0,0.0
13,50633.0,21.887,22.812,1009.9775,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,713.0,0.0
14,50683.0,21.898,22.82,1010.01794,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,763.0,0.0
15,50735.0,21.898,22.82,1009.97314,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,815.0,0.0
16,50786.0,21.909,22.828,1009.97314,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,866.0,0.0
17,50837.0,21.887,22.828,1009.96405,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,917.0,0.0
18,50887.0,21.887,22.812,1009.9906,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,967.0,0.0
19,50938.0,21.909,22.82,1009.95044,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1018.0,0.0
20,50990.0,21.909,22.812,1009.95044,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1070.0,0.0
21,51041.0,21.887,22.828,1009.94617,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1121.0,0.0
22,51091.0,21.919,22.828,1009.9866,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1171.0,0.0
23,51142.0,21.887,22.828,1009.96875,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1222.0,0.0
24,51193.0,21.898,22.835,1009.96875,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1273.0,0.0
25,51245.0,21.887,22.82,1009.9775,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1325.0,0.0
26,51295.0,21.919,22.828,1009.991,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1375.0,0.0
27,51346.0,21.909,22.828,1009.991,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1426.0,0.0
28,51397.0,21.909,22.828,1009.97314,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1477.0,0.0
29,51448.0,21.909,22.828,1009.98157,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1528.0,0.0
30,51499.0,21.898,22.82,1010.0042,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1579.0,0.0
31,51550.0,21.887,22.828,1010.0042,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1630.0,0.0
32,51601.0,21.887,22.82,1009.9461,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1681.0,0.0
33,51652.0,21.887,22.805,1009.9903,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1732.0,0.0
34,51702.0,21.898,22.828,1009.9994,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1782.0,0.0
35,51753.0,21.909,22.812,1009.9994,1.1902,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1833.0,0.0
36,51805.0,21.887,22.82,1009.9637,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1885.0,0.0
37,51856.0,21.887,22.828,1009.9725,1.1903,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1936.0,0.0
